,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution 
374,The APP ART,,THEAPP-1473,Feature,Funnel,08.12.2021 11:59:34,Android|iOS|VICI|,,21.02.2022 13:16:02,,367805,108998,0,0,0,0,0,0, 
375,The APP ART,,THEAPP-1472,Feature,Done,08.12.2021 08:59:16,,,31.01.2022 15:19:50,31.01.2022 15:19:50,0,78140,0,0,0,0,0,398845,Not Required 
376,The APP ART,,THEAPP-1471,Feature,Funnel,07.12.2021 23:54:19,,,,,477531,0,0,0,0,0,0, ,
377,The APP ART,,THEAPP-1470,Feature,Done,06.12.2021 09:48:38,SPECTRE|,,06.12.2021 16:36:14,30.03.2022 14:27:25,30184,73570,60682,0,0,0,0,315377,Won't Do 
378,The APP ART,,THEAPP-1469,Feature,Done,06.12.2021 09:44:47,VICI|,,06.12.2021 16:34:02,03.05.2022 11:47:30,0,13354,119324,80564,0,0,0,266577,Done 
379,The APP ART,,THEAPP-1468,Feature,In Implementation,03.12.2021 09:33:28,Pikachu|Stromberg|,,11.04.2022 15:14:25,,0,239160,119319,125669,0,0,0,0, 
380,The APP ART,,THEAPP-1467,Feature,Done,02.12.2021 12:14:31,App ART Funnel|BOND|P&S|,,31.03.2022 08:47:36,18.10.2022 19:05:57,0,358448,21533,31579,49454,193,0,24219,Done 
381,The APP ART,,THEAPP-1466,Feature,In Analysis,01.12.2021 17:33:08,SPECTRE|,,06.12.2021 17:20:48,,0,365657,120893,0,0,0,0,0, 
382,The APP ART,,THEAPP-1464,Feature,Funnel,30.11.2021 09:46:15,Android|App ART Funnel|Backend|Design|iOS|,,31.01.2022 15:14:24,31.01.2022 15:14:24,266570,89608,0,0,0,0,0,132280,Done 
383,The APP ART,,THEAPP-1462,Feature,Funnel,29.11.2021 16:15:59,App ART Funnel|Pikachu|,,09.12.2021 08:17:33,,332806,156702,0,0,0,0,0,0, 
384,The APP ART,,THEAPP-1461,Feature,Done,29.11.2021 14:08:28,BOND|Design|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,12.10.2022 09:22:37,12.10.2022 09:22:37,0,456194,0,0,0,0,0,33442,Won't Do 
385,The APP ART,,THEAPP-1460,Feature,Done,26.11.2021 15:33:12,2022|Android|App ART Funnel|Backend|Design|iOS|P&S|Release 2.0|Release 3.0|Release 3.1|Skywalker|Stark|,,27.01.2022 09:33:12,05.08.2022 22:32:30,0,146586,0,185215,31494,0,0,130572,Done 
386,The APP ART,,THEAPP-1459,Feature,Backlog,26.11.2021 09:18:13,2022|Android|App ART Funnel|Design|iOS|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 3b|Release 4.0|Stark|,,27.01.2022 10:06:21,,0,89836,404410,0,0,0,0,0, 
387,The APP ART,,THEAPP-1457,Feature,Funnel,25.11.2021 17:34:47,BOND|,,,,495190,0,0,0,0,0,0, ,
388,The APP ART,,THEAPP-1456,Feature,Done,23.11.2021 16:40:58,,,18.05.2022 15:31:44,18.05.2022 15:31:44,0,253370,0,0,0,0,0,244753,Fixed 
