,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
667,The APP ART,,THEAPP-702,Feature,Done,15.04.2021 09:11,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,19.04.2021 09:41,Done ,21.07.2021 10:07,0,8967,38667,92099,0,0,0,678517,Done 
668,The APP ART,,THEAPP-701,Feature,Done,15.04.2021 09:04,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,19.04.2021 09:41,Done ,21.07.2021 10:07,0,8975,38667,92099,0,0,0,678517,Done 
669,The APP ART,,THEAPP-693,Feature,Done,14.04.2021 08:49,App ART Funnel|Griffin|P&S|Release 2.0|Release 3.0|Release 3.1|Release 4.0|Stark|,,23.06.2021 15:57,Done ,05.08.2022 22:28,0,120149,271564,297424,0,0,0,130576,Done 
672,The APP ART,,THEAPP-619,Feature,Done,08.04.2021 11:19,CR|Griffin|Mario|P&S|,,08.04.2021 13:07,Done ,06.07.2021 08:56,0,18919,108158,938,0,0,0,700188,Done 
677,The APP ART,,THEAPP-591,Feature,Done,25.03.2021 10:26,App ART Funnel|CR|VICI|,,23.02.2022 16:06,Done ,02.09.2022 14:16,0,563140,78101,116426,0,0,0,90749,Done 
678,The APP ART,,THEAPP-589,Feature,Done,23.03.2021 18:47,App ART Funnel|CR|P&S|PCS|VICI|,,26.03.2021 12:49,Done ,10.08.2021 13:12,0,61646,38818,100799,0,0,0,649533,Done 
681,The APP ART,,THEAPP-584,Feature,Completed,23.03.2021 11:27,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,07.04.2021 14:12,Done ,21.12.2021 11:46,0,41963,119443,231408,0,458098,0,321,Done 
682,The APP ART,,THEAPP-583,Feature,Completed,23.03.2021 11:14,App ART Funnel|P&S|Release 3.0|Release 3.1|,,07.04.2021 14:12,Done ,21.12.2021 11:46,0,41977,70719,280124,0,458098,0,329,Done 
684,The APP ART,,THEAPP-572,Feature,Done,12.03.2021 10:29,App ART Funnel|Backend|CR|Griffin|P&S|,,21.04.2021 16:19,Done ,24.08.2021 13:13,0,57949,99170,80643,0,0,0,629372,Done 
687,The APP ART,,THEAPP-540,Feature,Done,01.03.2021 19:15,App ART Funnel|P&S|Release 3.0|Release 3.1|,,01.03.2021 19:16,Done ,24.08.2021 12:57,0,1,123250,129809,0,0,0,629387,Done 
693,The APP ART,,THEAPP-517,Feature,Done,05.02.2021 13:56,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,24.08.2021 12:57,20120,87454,79493,100870,0,0,0,629387,Done 
694,The APP ART,,THEAPP-516,Feature,Done,05.02.2021 13:34,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,24.08.2021 12:57,20119,48794,89237,129809,0,0,0,629387,Done 
696,The APP ART,,THEAPP-514,Feature,Done,04.02.2021 14:52,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:59,Done ,24.08.2021 12:57,20120,58469,80924,129809,0,0,0,629387,Done 
697,The APP ART,,THEAPP-513,Feature,Done,04.02.2021 14:33,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:49,Done ,24.08.2021 12:58,20120,52668,86744,129809,0,0,0,629387,Done 
698,The APP ART,,THEAPP-512,Feature,Done,04.02.2021 14:11,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:32,Done ,28.04.2021 09:51,0,11565,55827,50686,1179,0,0,799493,Done 
700,The APP ART,,THEAPP-503,Feature,Done,27.01.2021 12:26,App ART Funnel|PCS|,,27.01.2021 12:29,Done ,10.08.2021 08:27,1,4,52012,228541,0,0,0,649817,Done 
702,The APP ART,,THEAPP-500,Feature,Done,22.01.2021 10:03,Android|App ART Funnel|Backend|CR|iOS|VICI|,,01.07.2021 16:01,Done ,05.10.2021 13:18,0,260801,47553,60479,0,0,0,568886,Done 
703,The APP ART,,THEAPP-499,Feature,Done,21.01.2021 16:54,App ART Funnel|CR|Lebowski|P&S|Skywalker|,,22.01.2021 10:30,Done ,22.11.2021 18:07,0,17129,422143,0,0,0,0,499477,Done 
704,The APP ART,,THEAPP-498,Feature,Done,21.01.2021 16:13,App ART Funnel|CR|P&S|,,22.01.2021 10:31,Done ,14.04.2021 14:14,0,17167,30170,72061,0,0,0,819391,Done 
705,The APP ART,,THEAPP-497,Feature,Done,21.01.2021 14:49,CR|Lebowski|VICI|,,21.01.2021 14:49,Done ,02.11.2021 13:36,0,8556,300953,100817,0,0,0,528548,Done 
707,The APP ART,,THEAPP-480,Feature,Done,12.01.2021 18:13,App ART Funnel|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,09.02.2021 14:44,Done ,05.05.2021 15:12,0,40112,94684,27741,0,0,0,789092,Done 
708,The APP ART,,THEAPP-478,Feature,Done,17.12.2020 11:05,App ART Funnel|P&S|Release 3.0|Release 3.1|,,20.01.2021 15:47,Done ,06.10.2021 15:22,0,282602,0,139573,0,0,0,567323,Done 
710,The APP ART,,THEAPP-470,Feature,Done,07.12.2020 15:07,CR|P&S|,,09.12.2020 09:55,Done ,06.05.2021 19:04,0,2567,0,213668,0,0,0,787420,Done 
712,The APP ART,,THEAPP-468,Feature,Done,07.12.2020 13:52,CR|Lebowski|VICI|,,14.01.2021 12:22,Done ,02.11.2021 13:36,0,73413,300952,100816,0,0,0,528549,Done 
717,The APP ART,,THEAPP-462,Feature,Done,03.12.2020 18:28,Lebowski|P&S|Release 3.0|Release 3.1|Skywalker|,,20.01.2021 15:32,Done ,12.07.2022 10:14,116992,284462,119403,322484,0,0,0,165871,Done 
718,The APP ART,,THEAPP-461,Feature,Done,03.12.2020 14:50,P&S|Release 1.0|Release 2.0|Release 3.0|,,15.12.2020 13:35,Done ,24.08.2021 12:58,0,17204,50210,312631,0,0,0,629387,Done 
719,The APP ART,,THEAPP-460,Feature,Done,03.12.2020 14:15,App ART Funnel|P&S|Release 3.1|Release 4.0|,,20.01.2021 15:14,Done ,22.04.2021 14:37,0,110666,10406,70698,9848,0,0,807848,Done 
720,The APP ART,,THEAPP-457,Feature,Done,20.11.2020 17:16,CR|,,20.11.2020 17:19,Done ,08.02.2021 09:48,0,3,17117,97631,0,0,0,913256,Done 
721,The APP ART,,THEAPP-455,Feature,Done,19.11.2020 17:16,P&S|Release 1.0|Release 2.0|Release 3.0|,,19.11.2020 19:08,Done ,05.05.2021 15:08,0,112,86215,154023,0,0,0,789097,Done 
722,The APP ART,,THEAPP-454,Feature,Done,19.11.2020 16:19,CR|P&S|,,23.11.2020 12:17,Done ,14.12.2020 15:47,0,6963,19044,9958,0,0,0,993538,Done 
725,The APP ART,,THEAPP-451,Feature,Done,17.11.2020 15:17,App ART Funnel|Backend|CR|VICI|,,27.01.2021 13:27,Done ,06.10.2021 16:20,0,223353,58762,142750,40314,0,0,567265,Done 
728,The APP ART,,THEAPP-448,Feature,Done,17.11.2020 09:29,App ART Funnel|P&S|Release 3.1|,,10.02.2021 17:55,Done ,09.09.2021 10:17,0,184474,28895,212918,0,0,0,606507,Done 
735,The APP ART,,THEAPP-441,Feature,Completed,17.11.2020 09:04,App ART Funnel|P&S|Release 3.1|Release 3.2|Release 4.0|Stromberg|,,21.07.2021 13:33,Done ,14.12.2021 10:28,0,354508,89174,116400,75,468256,0,4401,Done 
737,The APP ART,,THEAPP-438,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:20,Done ,23.04.2021 10:12,0,123793,0,103132,0,0,0,806672,Done 
744,The APP ART,,THEAPP-431,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:10,0,123758,0,103164,0,0,0,806674,Done 
745,The APP ART,,THEAPP-430,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:11,0,123758,0,103166,0,0,0,806673,Done 
749,The APP ART,,THEAPP-426,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:10,Done ,10.02.2021 19:10,0,123783,0,0,0,0,0,909814,Done 
750,The APP ART,,THEAPP-425,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Done ,11.06.2021 16:27,0,123783,0,174076,0,0,0,735737,Done 
755,The APP ART,,THEAPP-420,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:09,0,123758,0,103164,0,0,0,806675,Done 
758,The APP ART,,THEAPP-417,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:46,Done ,11.06.2021 16:25,0,123759,0,174098,0,0,0,735739,Done 
759,The APP ART,,THEAPP-416,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:09,Done ,11.06.2021 16:26,0,123782,0,174076,0,0,0,735739,Done 
764,The APP ART,,THEAPP-410,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:12,0,123758,0,103166,0,0,0,806673,Done 
765,The APP ART,,THEAPP-409,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:13,Done ,11.06.2021 16:32,0,123786,0,174078,0,0,0,735733,Done 
766,The APP ART,,THEAPP-408,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Done ,23.04.2021 10:13,0,123784,0,103141,0,0,0,806672,Done 
778,The APP ART,,THEAPP-394,Feature,Done,16.11.2020 12:06,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:37,Done ,09.04.2021 13:42,0,124231,0,78872,4351,0,0,826623,Done 
782,The APP ART,,THEAPP-390,Feature,Done,16.11.2020 12:00,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:37,Done ,16.04.2021 09:13,0,124237,0,93035,0,0,0,816811,Done 
784,The APP ART,,THEAPP-388,Feature,Done,16.11.2020 11:57,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,22.04.2021 14:33,0,124233,0,102001,0,0,0,807852,Done 
785,The APP ART,,THEAPP-387,Feature,Done,16.11.2020 11:56,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,08.03.2021 13:10,0,124235,0,37118,0,0,0,872735,Done 
787,The APP ART,,THEAPP-384,Feature,Done,16.11.2020 11:49,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:18,Done ,12.03.2021 10:10,0,124228,0,42712,0,0,0,867154,Done 
788,The APP ART,,THEAPP-383,Feature,Done,16.11.2020 11:48,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:26,Done ,09.04.2021 13:30,0,124237,0,83224,0,0,0,826634,Done 
789,The APP ART,,THEAPP-382,Feature,Done,16.11.2020 11:47,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,09.04.2021 13:26,0,124244,0,83215,0,0,0,826638,Done 
790,The APP ART,,THEAPP-381,Feature,Done,16.11.2020 11:45,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:38,Done ,09.04.2021 13:23,0,124252,0,83205,0,0,0,826641,Done 
791,The APP ART,,THEAPP-380,Feature,Done,16.11.2020 11:44,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,12.03.2021 10:07,0,124246,0,42696,0,0,0,867157,Done 
792,The APP ART,,THEAPP-379,Feature,Done,16.11.2020 11:41,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:12,Done ,12.03.2021 10:04,0,124231,0,42711,0,0,0,867160,Done 
793,The APP ART,,THEAPP-378,Feature,Done,16.11.2020 11:40,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:24,Done ,19.03.2021 13:38,0,124243,0,52994,0,0,0,856866,Done 
794,The APP ART,,THEAPP-377,Feature,Done,16.11.2020 11:40,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:12,Done ,10.02.2021 18:12,0,124232,0,0,0,0,0,909872,Done 
795,The APP ART,,THEAPP-376,Feature,Done,16.11.2020 11:39,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:11,Done ,12.03.2021 10:06,0,124232,0,42714,0,0,0,867158,Done 
796,The APP ART,,THEAPP-375,Feature,Done,16.11.2020 11:22,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:35,Done ,09.04.2021 13:21,0,124273,0,83206,0,0,0,826643,Done 
797,The APP ART,,THEAPP-374,Feature,Done,16.11.2020 11:00,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:25,Done ,03.03.2021 14:37,0,124284,0,30012,0,0,0,879847,Done 
798,The APP ART,,THEAPP-373,Feature,Done,16.11.2020 11:00,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:25,Done ,22.04.2021 14:28,0,124284,0,102003,0,0,0,807857,Done 
799,The APP ART,,THEAPP-372,Feature,Done,16.11.2020 10:59,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:25,Done ,19.03.2021 11:25,0,124285,0,52860,0,0,0,856999,Done 
801,The APP ART,,THEAPP-369,Feature,Done,16.11.2020 07:34,App ART Funnel|PCS|Pikachu|,,25.02.2022 10:25,Done ,25.02.2022 10:25,0,671210,0,0,0,0,0,363139,Done 
803,The APP ART,,THEAPP-366,Feature,Done,13.11.2020 17:16,App ART Funnel|PCS|Pikachu|VICI|,,28.09.2021 09:33,Done ,04.02.2022 14:18,0,502518,45964,96459,0,0,0,393146,Done 
805,The APP ART,,THEAPP-363,Feature,Done,13.11.2020 17:01,App ART Funnel|PCS|Pikachu|,,22.07.2021 12:30,Done ,17.05.2022 13:03,0,366736,41960,383064,0,0,0,246342,Done 
806,The APP ART,,THEAPP-362,Feature,Done,13.11.2020 16:47,App ART Funnel|PCS|Pikachu|,,20.04.2021 15:57,Done ,14.12.2021 11:07,0,338700,110373,120823,0,0,0,468217,Done 
807,The APP ART,,THEAPP-361,Feature,Done,13.11.2020 16:42,App ART Funnel|PCS|Pikachu|,,28.03.2022 15:09,Done ,28.03.2022 15:09,0,719907,0,0,0,0,0,318216,Done 
808,The APP ART,,THEAPP-360,Feature,Done,13.11.2020 16:38,App ART Funnel|PCS|Pikachu|,,07.03.2022 09:59,Done ,07.03.2022 09:59,0,689361,0,0,0,0,0,348765,Done 
