Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution 
Group Finance Backbone,,GFBB-7731,Story,Resolved,02.11.2020 09:32:21,,,12.05.2022 10:59:30,17.05.2022 11:32:38,800727,0,0,0,0,0,515601,0,Won't Do 
Group Finance Backbone,,GFBB-7559,Story,Closed,15.10.2020 09:03:29,,,19.10.2020 16:50:49,18.01.2021 08:52:41,6227,0,120463,6090,0,0,4007,1205488,Done 
Group Finance Backbone,,GFBB-5822,Story,New,07.05.2020 15:03:33,,,,,1573757,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-2548,Epic,In Specification,07.10.2019 23:39:58,,,05.03.2021 13:06:09,,740966,953552,185441,0,0,0,0,0, 
Group Finance Backbone,,GFBB-2537,Epic,Resolved,07.10.2019 23:39:52,,,10.12.2020 14:51:08,18.11.2021 13:28:32,618671,0,0,287859,205978,0,767452,0,Done 
Financial Reporting & Analytics,,FINRA-16677,Test,Ready,17.11.2022 15:54:48,TBB|Use Case Reporting|,,17.11.2022 15:56:37,,1,0,243144,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-16278,Story,New,02.11.2022 15:45:25,,,,,264755,0,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-15586,Story,Closed,06.10.2022 15:54:33,,,06.10.2022 15:54:44,16.11.2022 16:40:59,0,8460,0,11735,0,0,38889,244539,Done 
Financial Reporting & Analytics,,FINRA-15585,Story,Closed,06.10.2022 15:49:56,,,07.10.2022 09:28:07,16.11.2022 16:40:49,1058,333,0,18806,0,0,38892,244540,Done 
Financial Reporting & Analytics,,FINRA-15574,Story,Resolved,06.10.2022 13:47:15,,,06.10.2022 13:53:23,09.11.2022 14:38:32,6,0,0,49005,0,0,254742,0,Done 
Financial Reporting & Analytics,,FINRA-15569,Story,Resolved,06.10.2022 12:15:24,,,06.10.2022 12:15:31,17.10.2022 16:02:26,0,99,0,15967,0,0,287778,0,Done 
Financial Reporting & Analytics,,FINRA-15501,Epic,In Specification,29.09.2022 16:03:18,BW/4|FinanceLayer|Use Case Reporting|,,29.09.2022 16:04:31,,1,313691,4,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-8561,Epic,Open,07.07.2022 10:55:13,Use Case Reporting|,,29.09.2022 16:13:42,,121278,25866,287820,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-8560,Epic,Closed,07.07.2022 10:50:26,Use Case Reporting|,,14.07.2022 14:36:24,15.09.2022 09:29:42,10305,0,0,68900,11678,0,9833,334251,Done 
Financial Reporting & Analytics,,FINRA-8189,Task,Closed,28.06.2022 15:02:37,DataGovernance|Integration|,,28.06.2022 16:55:06,12.07.2022 10:20:12,112,0,0,104,0,0,19660,427800,Done 
